,Date,economy_avg,foreign_policy_avg,immigration_avg,inflation_avg,economy_std,foreign_policy_std,immigration_std,inflation_std,trade_tariffs_avg,trade_tariffs_std,healthcare_avg,healthcare_std,crime_avg,crime_std,economy_upper_CI,economy_lower_CI,foreign_policy_upper_CI,foreign_policy_lower_CI,immigration_upper_CI,immigration_lower_CI,inflation_upper_CI,inflation_lower_CI,trade_tariffs_upper_CI,trade_tariffs_lower_CI,healthcare_upper_CI,healthcare_lower_CI,crime_upper_CI,crime_lower_CI
114,2025-05-24,-12.390313409500498,-8.30319625765885,-0.2960701387064494,-22.301019948056076,5.478463072084221,5.285095936105988,4.681148364254863,7.913877687173837,-16.77222922393148,8.649965631473577,-10.85515831758942,5.341720886638512,6.222945348020041,2.771954310030834,-6.911850337416277,-17.868776481584717,-3.018100321552862,-13.58829219376484,4.385078225548414,-4.977218502961312,-14.38714226088224,-30.214897635229914,-8.122263592457902,-25.422194855405056,-5.513437430950908,-16.196879204227933,8.994899658050876,3.4509910379892075
115,2025-05-25,-12.205244903823608,-8.294377679598293,-0.09947071244313055,-22.308018899543402,5.6464113408344225,5.288246094087542,4.927185447437458,7.92500989637927,-16.342823434006505,9.02374907099025,-10.817327675078179,5.322891835542936,6.22835868441252,2.7691795428821315,-6.558833562989186,-17.85165624465803,-3.006131585510751,-13.582623773685835,4.827714734994328,-5.026656159880589,-14.383009003164133,-30.23302879592267,-7.319074363016254,-25.366572504996753,-5.494435839535242,-16.140219510621115,8.997538227294651,3.459179141530388
116,2025-05-26,-11.988210051752658,-8.285930697996243,-0.06119503380387459,-21.814096706521358,5.551071472373955,5.29111129336968,4.797313612685363,7.65569104601234,-16.33058340896513,9.033482362427888,-10.773931182905544,5.300941326152813,6.234678754792562,2.7658306460448037,-6.437138579378702,-17.539281524126615,-2.994819404626563,-13.577041991365922,4.736118578881488,-4.858508646489238,-14.158405660509018,-29.469787752533698,-7.297101046537241,-25.364065771393015,-5.472989856752731,-16.07487250905836,9.000509400837366,3.4688481087477587
117,2025-05-27,-12.549193826181266,-8.276287335510588,-2.0629069751347817,-21.815534479461828,4.804734240379573,5.294341795754682,5.395201032113694,7.664810704541315,-15.477786431005221,7.310696604720188,-15.907091327737188,3.2407542147156354,6.242003869113967,2.7618364524607206,-7.744459585801693,-17.35392806656084,-2.9819455397559063,-13.570629131265271,3.3322940569789123,-7.458108007248476,-14.150723774920513,-29.48034518400314,-8.167089826285032,-22.78848303572541,-12.666337113021552,-19.147845542452824,9.003840321574687,3.4801674166532464
118,2025-05-28,-12.55300497643021,-8.26531213263228,-2.0605319011189835,-21.816529777015987,4.805069189958753,5.297972717191644,5.396702181302722,7.675217722574703,-15.464496107714787,7.313507968587782,-15.908553947044894,3.2332842057702624,6.250443320192951,2.7571158286628754,-7.747935786471456,-17.358074166388963,-2.9673394154406356,-13.563284849823924,3.336170280183738,-7.457234082421705,-14.141312054441283,-29.49174749959069,-8.150988139127005,-22.77800407630257,-12.675269741274631,-19.141838152815154,9.007559148855826,3.4933274915300756
119,2025-05-29,-12.317932420895026,-8.254949587415807,-0.7522970104980194,-19.88814614588605,4.714153525406608,5.300239129538411,6.840092217841688,8.297776071501756,-14.42664134055121,7.499102685057672,-13.604036064457956,5.555822413274413,6.260118987975198,2.751575797114998,-7.603778895488419,-17.032085946301635,-2.954710457877396,-13.555188716954216,6.087795207343668,-7.592389228339708,-11.590370074384294,-28.185922217387805,-6.927538655493539,-21.925744025608882,-8.048213651183543,-19.15985847773237,9.011694785090196,3.5085431908602
120,2025-05-30,-12.319325400459512,-8.242266780917308,-0.7475836506643566,-19.884298558376802,4.714230992471989,5.301810785308993,6.845297173952836,8.30556838065331,-14.41062606273649,7.4968081833784455,-13.605418897949738,5.555965575200001,6.27116725493528,2.7451092093427856,-7.605094407987523,-17.0335563929315,-2.940455995608316,-13.544077566226301,6.097713523288479,-7.592880824617192,-11.578730177723491,-28.18986693903011,-6.913817879358045,-21.907434246114935,-8.049453322749738,-19.161384473149738,9.016276464278066,3.5260580455924946
121,2025-05-31,-12.316373188449596,-8.227957816564585,-0.7419875256596669,-19.877322487599997,4.715344108126947,5.30351429031919,6.849881370774896,8.313310774586588,-14.391850734621253,7.492634038240217,-13.606005500740428,5.555839663819648,6.280907606194252,2.7363401986512517,-7.601029080322649,-17.031717296576545,-2.924443526245395,-13.531472106883776,6.107893845115229,-7.591868896434563,-11.564011713013409,-28.190633262186587,-6.8992166963810355,-21.88448477286147,-8.05016583692078,-19.161845164560077,9.017247804845503,3.5445674075430005
122,2025-06-01,-12.31276726125461,-8.211834692740965,-0.7356355366393696,-19.86856639869981,4.716514880871923,5.305353918205208,6.855377176855688,8.321947693929353,-14.370201698622417,7.487561690219687,-13.606757512131765,5.555738560606791,6.291930162872992,2.726261281903407,-7.596252380382687,-17.029282142126533,-2.9064807745357566,-13.517188610946173,6.1197416402163185,-7.591012713495058,-11.546618704770456,-28.19051409262916,-6.8826400084027295,-21.857763388842102,-8.051018951524973,-19.162496072738556,9.018191444776399,3.5656688809695853
123,2025-06-02,-11.825138928267839,-7.6174176102566955,-0.100088539637256,-19.20759838434635,4.938563033814908,5.7822738762127885,7.050451342820919,8.003125967874533,-13.995832367910106,7.79271369625582,-13.018564709476516,6.146898971710922,6.304371765522923,2.7147062180859867,-6.886575894452931,-16.763701962082745,-1.835143734043907,-13.399691486469484,6.950362803183663,-7.150539882458175,-11.204472416471818,-27.210724352220886,-6.203118671654286,-21.788546064165928,-6.8716657377655945,-19.16546368118744,9.01907798360891,3.5896655474369363
